,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE_OF_BUILDING,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
0,0,1004,131,1,1,3,2,1,3,1,0,7600000,44,1,0,0
1,5,1986,26,2,1,5,2,0,3,2,3,21717770,11,1,0,0
2,1,909,70,1,1,3,2,1,0,2,4,13159200,20,1,0,0
3,3,1855,14,3,2,5,1,0,2,1,2,9630290,22,0,0,1
4,0,1226,84,1,1,3,2,1,3,2,1,7406250,30,0,0,1
5,2,1220,36,2,1,4,0,0,1,0,3,12394750,5,1,0,0
6,2,1167,137,1,1,3,0,0,3,0,4,8488790,28,0,0,1
7,3,1847,176,3,2,5,1,0,3,2,5,16800250,10,1,0,0
8,2,771,175,1,1,2,4,0,2,1,5,8308970,34,0,0,1
9,3,1635,74,2,1,4,2,0,0,0,2,8083650,15,0,0,1
10,2,1203,78,2,1,4,4,1,3,0,5,14938000,28,1,0,0
11,2,1054,143,1,1,3,0,0,2,2,5,9449730,37,0,0,1
12,2,1196,137,1,1,3,1,0,2,0,4,8774370,19,0,0,1
13,1,1056,83,1,1,3,0,1,2,1,3,9386490,26,0,0,1
14,3,1865,157,3,2,5,1,0,2,1,5,15499680,54,1,0,0
15,3,1868,148,3,2,5,1,0,2,2,3,15714080,9,1,0,0
16,0,1639,175,2,2,4,3,1,0,2,2,8656000,18,0,1,0
17,2,796,134,1,1,2,4,1,3,0,4,10912550,36,1,0,0
18,1,1136,69,1,1,3,3,1,3,1,0,8287550,30,0,0,1
19,5,1902,168,2,1,5,1,1,0,1,4,21203240,42,1,0,0
20,2,1069,53,1,1,3,2,1,2,1,5,10905530,4,0,0,1
21,2,931,96,1,1,3,2,1,0,1,4,9185970,22,0,0,1
22,4,2010,114,3,2,5,0,0,2,2,3,10925400,10,0,0,1
23,2,1074,100,1,1,3,2,0,2,2,4,9627380,16,0,0,1
24,6,1972,111,2,1,5,4,0,2,0,3,13922760,5,0,0,1
25,6,1685,105,1,1,4,1,0,2,2,5,12601080,34,0,1,0
26,1,1130,29,1,1,3,1,1,0,1,3,13383350,30,1,0,0
27,0,1301,59,1,1,3,3,1,2,2,1,7939625,7,0,0,1
28,1,730,185,1,1,2,4,1,0,2,4,8848285,39,0,1,0
29,6,1806,138,2,1,5,1,0,1,1,3,11338200,35,0,1,0
30,5,1981,173,2,1,5,4,0,0,0,4,12872430,9,0,1,0
31,1,868,15,1,1,3,3,0,1,2,4,9042050,10,0,0,1
32,6,1721,117,1,1,4,4,1,0,1,5,14874380,20,0,0,1
33,3,1755,16,2,1,4,4,1,3,2,0,10222380,19,0,0,1
